wavelength_nm,usgs_aspen_green_reflectance,usgs_dry_grass_reflectance,usgs_sand_reflectance,usgs_seawater_reflectance,chemla_bchl_a_yf10_absorbance,chemla_smurfp_biliverdin_ecoli_absorbance,chemla_smurfp_biliverdin_pputida_absorbance
400.0,0.049495924,0.042547739,0.125454318,0.048077424,-0.0207996389,-0.0190873217,0.0116620545
401.0,0.049495924,0.0433740964,0.126078658,0.0481994253,-0.0201148343,-0.020533101,0.0109552282
402.0,0.049495924,0.0442139576,0.126844342,0.0483279078,-0.0172520515,-0.0216451247,0.00350088222
403.0,0.049495924,0.045056,0.1274069,0.0484571103,-0.014456436,-0.0231012254,-0.00450246097
404.0,0.049495924,0.0459069825,0.127667157,0.0485541083,-0.0154722879,-0.0270181067,-0.00495435403
405.0,0.049495924,0.046778046,0.12814748,0.0486475289,-0.0151087728,-0.0307268234,-0.00653381503
406.0,0.049495924,0.0476760471,0.128678773,0.0487019934,-0.0134821593,-0.0342449219,-0.00914579994
407.0,0.049495924,0.0485894069,0.128962047,0.0487521299,-0.0158339845,-0.0400283687,-0.0118680991
408.0,0.049495924,0.049502195,0.129688966,0.0487364078,-0.017160827,-0.0449455382,-0.0144701618
409.0,0.049495924,0.050402953,0.130333474,0.0487133689,-0.0142655363,-0.0466665455,-0.0166978592
410.0,0.049495924,0.051298272,0.13076366,0.048679686,-0.0140174274,-0.050648297,-0.019844142
411.0,0.049495924,0.052199221,0.131474373,0.0486448205,-0.0152994761,-0.0559291944,-0.0235012324
412.0,0.049495924,0.053115826,0.13181452,0.0486386334,-0.0154305942,-0.0583252243,-0.0217378829
413.0,0.049495924,0.0540530216,0.13226674,0.0486305793,-0.0160714376,-0.0612940449,-0.0215069279
414.0,0.049495924,0.055014763,0.13329953,0.0486023143,-0.0175654575,-0.0652216007,-0.0238408899
415.0,0.049496889,0.056001304,0.133895525,0.0485740493,-0.0184597883,-0.0667851655,-0.023839074
416.0,0.049498048,0.056999245,0.134424625,0.0485333666,-0.0191277998,-0.0674605137,-0.0232588526
417.0,0.049499325,0.057991505,0.13506049,0.0484430103,-0.0196337673,-0.0675274016,-0.0243800547
418.0,0.04950076,0.0589661833,0.135699654,0.048352654,-0.0201560795,-0.068245502,-0.0243616039
419.0,0.049502268,0.059931561,0.13616998,0.0482621075,-0.0206956779,-0.0696523334,-0.0231378413
420.0,0.0495039636,0.0609010968,0.136643397,0.0481708001,-0.0204784791,-0.0663898498,-0.0245352854
421.0,0.049864314,0.061884109,0.13733205,0.0480794927,-0.0206141271,-0.062699668,-0.0253374811
422.0,0.0502329208,0.0628749979,0.138183137,0.0479880294,-0.0223813391,-0.0602062024,-0.0226232902
423.0,0.0506177542,0.0638639161,0.138838923,0.047895942,-0.0226966839,-0.0571920854,-0.0228853263
424.0,0.0510137975,0.0648438357,0.139359308,0.0478038546,-0.0220360243,-0.0538279654,-0.0251481037
425.0,0.0513629915,0.0658171303,0.140116102,0.0477126344,-0.0219609129,-0.05143125,-0.0244794564
426.0,0.051594142,0.066788785,0.14068361,0.0476248838,-0.0222810425,-0.0493041957,-0.0246193678
427.0,0.0516695532,0.0677636288,0.141217747,0.0475371331,-0.0233340905,-0.0476405839,-0.0265248028
428.0,0.051685531,0.068746075,0.14189298,0.0474418871,-0.0232652584,-0.0456504518,-0.0275920243
429.0,0.0517718035,0.0697404021,0.142655806,0.0473166537,-0.022680016,-0.0439295504,-0.0283554808
430.0,0.0520248535,0.0707489599,0.143277984,0.0471914202,-0.0214513609,-0.0468459881,-0.0295820293
431.0,0.0524075264,0.0717665432,0.143823857,0.0470547418,-0.0222480192,-0.0488186451,-0.030468079
432.0,0.0528491616,0.0727857998,0.144526133,0.0468722775,-0.0255200605,-0.0496377925,-0.0309379632
433.0,0.053292103,0.073798776,0.14522484,0.0466898132,-0.0271225056,-0.0537333721,-0.0307206742
434.0,0.0537300114,0.0747939967,0.145902757,0.0465085705,-0.0283214616,-0.0584536089,-0.030387103
435.0,0.054169398,0.075759061,0.14655416,0.046332214,-0.0293532289,-0.0627939422,-0.0301955941
436.0,0.0546069819,0.076686518,0.147186127,0.0461558575,-0.0302700407,-0.0659714261,-0.0304037538
437.0,0.0549997911,0.077587581,0.147837363,0.0459810204,-0.0310972609,-0.0682426323,-0.0309233991
438.0,0.0552950707,0.0784784499,0.148549878,0.0458122618,-0.0322931674,-0.0707921806,-0.0303076638
